"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing Java Source"
"Edit","Select All","⌘A","In Dialogs and Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Window","Update Project","⌥F5","In Windows"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Navigate","Open Declaration","⌃.","In Windows"
"Edit","Select All","⌃X H","In Dialogs and Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Refactor - Java","Extract Local Variable","⌃R ⌃V","In Windows"
"File","Close","⌘W","In Windows"
"Window","Activate Editor","⌘F12","In Windows"
"Text Editing","Insert Line Below Current Line","⇧⌃O","Editing Text"
"Source","Indent Line","⌘I","Editing JavaScript Source"
"Source","Toggle Comment","⌘/","Editing Java Source"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Uncategorized","Dump Log Sniffer Buffer ()","⇧⌃⌥X","In Windows"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Window","Next Editor","⌘F6","In Windows"
"Run/Debug","Debug on Server","⇧⌥D R","In Windows"
"Source","Add JSDoc Comment","⌥⌘J","JavaScript View"
"Refactor - Java","Rename - Refactoring ","⌃R ⌃R","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","JavaScript View"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Text Editing","Cut to Beginning of Line","Esc 0 ⌃K","Editing Text"
"Views","Show View (Problems)","⌥⌘Q X","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Edit","Restore Last Selection","⇧⌃↓","Editing XML Source"
"Text Editing","Cut to End of Line","⌃K","Editing Text"
"Text Editing","Text End","⌘↘","Editing Text"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Edit","Incremental Find","⌘J","Editing Text"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"PyDev - Editor","Add Comment Block","⌘4","PyDev editor scope"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Views","Documentation","⌥⌘Q J","JavaScript View"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Source","Toggle Comment","⇧⌘C","Editing JavaScript Source"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"pepticcategory","Generate Properties...","⇧⌥T P","PyDev editor scope"
"Text Editing","Line Up","⌃P","Editing Text"
"File","Print","Esc F9","In Windows"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Edit","Cut","⌘X","In Dialogs and Windows"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing JavaScript Source"
"Text Editing","Line End","⌘→","Editing Text"
"Refactor - Java","Extract Method","⌃R ⌃M","In Windows"
"Window","Next View","⌘F7","In Windows"
"PyDev - Editor","Python Uncomment","⇧⌘3","PyDev editor scope"
